"properties/brand","properties/addr:street","properties/addr:state","properties/sport","properties/website","properties/name:de","properties/opening_hours"
"","","","","",,""
"","","","","",,""
"","","","","",,""
"Esporta Fitness","Henry Avenue","PA","","",,""
"","","","","",,""
"Planet Fitness","","","","",,""
"","Lancaster Avenue","","","https://precisionkettlebells.com/",,""
"","Mount Lebanon Road","DE","","",,""
"Crunch Fitness","Huntingdon Pike","PA","","",,""
"","","","","",,""
"Club Pilates","East Ridge Pike","PA","pilates","",,""
"LA Fitness","","","","",,""
"","","","multi","",,""
"LA Fitness","Upland Square Drive","PA","","",,""
"","University Drive","PA","","",,""
"Planet Fitness","East York Street","PA","","",,""
"Planet Fitness","Lansdowne Avenue","PA","fitness;exercise","",,"24/7"
"LA Fitness","","","gymnastics","",,""
"","","","","",,""
"LA Fitness","","","","",,""
"LA Fitness","Garden Golf Boulevard","PA","","https://www.lafitness.com/",,"Mo-Th 05:00-23:00; Fr 05:00-22:00; Sa-Su 08:00-20:00"
"","Chemical Road","PA","","",,""
"Planet Fitness","","","weightlifting;cardio","",,""
"LA Fitness","Rockhill Drive","PA","","",,""
"Planet Fitness","","","","",,""
"","Pheasant Run","PA","","https://newtownathletic.com/",,""
"","","","","",,""
"","Marlton Pike","NJ","","https://balancedplanetyoga.com/",,""
"Snap Fitness","Marlton Pike","NJ","","",,""
"","Haddonfield-Berlin Road","NJ","","",,""
"","","","","",,""
"Planet Fitness","","","","",,""
"","Haddonfield-Berlin Road","NJ","","",,""
"","","","fitness","",,""
"Anytime Fitness","State Route 73","","","",,""
"Retro Fitness","State Route 38","NJ","","",,""
"Planet Fitness","State Route 70","NJ","","",,""
"","White Horse Road","NJ","","",,""
"","West Browning Road","NJ","","https://www.theatilisgym.com/",,""
"Orangetheory Fitness","State Route 73","NJ","fitness","https://voorhees.orangetheoryfitness.com/",,""
"","South Easton Road","PA","yoga","",,""
"LA Fitness","Paul Valley Road","PA","","",,""
"","Tuckahoe Road","NJ","","",,""
"Orangetheory Fitness","","","","",,""
"LA Fitness","","","","",,""
"","","","","https://www.afcfitness.com/",,""
"","","","yoga","",,""
"","","","boxing","https://www.ilovekickboxing.com/studio/index.php?id=546",,""
"LA Fitness","Edgmont Avenue","PA","","",,""
"","West Hunting Park Avenue","PA","","",,""
"","Young Avenue","NJ","swimming;athletics;running;weightlifting;yoga;spinning","",,""
"","","","","",,""
"LA Fitness","","","athletics;weightlifting;cardio","",,""
"","","","","",,""
"LA Fitness","Quarry Road","PA","","",,""
"","","","","",,""
"","","","","",,""
"","","","","",,""
"","Church Road","","basketball;multi;swimming","",,""
"","South Chester Avenue","NJ","","",,""
"","","","","",,""
"","","","","",,""
"","Haddon Avenue","NJ","","https://retrofitness.com/location/berlinnj/",,"Mo-Fr 05:00-23:00;Sa-Su 07:00-19:00"
"LA Fitness","","","","",,""
"","","","baseball;athletics;cardio;weightlifting","",,""
"","","","","",,""
"","Willowbrook Road","PA","yoga","",,""
"","","","","",,""
"","","","","",,""
"","","","","",,""
"LA Fitness","","","","",,""
"","","","swimming","",,""
"Planet Fitness","","","","",,"24/7"
"","","","","",,""
"","","","","",,""
"","Baltimore Pike","PA","","",,""
"","","","","",,""
