type,properties/@id,properties/building,properties/leisure,properties/name,geometry/type,geometry/coordinates/0/0/0,geometry/coordinates/0/0/1,geometry/coordinates/0/1/0,geometry/coordinates/0/1/1,geometry/coordinates/0/2/0,geometry/coordinates/0/2/1,geometry/coordinates/0/3/0,geometry/coordinates/0/3/1,geometry/coordinates/0/4/0,geometry/coordinates/0/4/1,geometry/coordinates/0/5/0,geometry/coordinates/0/5/1,geometry/coordinates/0/6/0,geometry/coordinates/0/6/1,geometry/coordinates/0/7/0,geometry/coordinates/0/7/1,geometry/coordinates/0/8/0,geometry/coordinates/0/8/1,geometry/coordinates/0/9/0,geometry/coordinates/0/9/1,geometry/coordinates/0/10/0,geometry/coordinates/0/10/1,geometry/coordinates/0/11/0,geometry/coordinates/0/11/1,geometry/coordinates/0/12/0,geometry/coordinates/0/12/1,geometry/coordinates/0/13/0,geometry/coordinates/0/13/1,geometry/coordinates/0/14/0,geometry/coordinates/0/14/1,geometry/coordinates/0/15/0,geometry/coordinates/0/15/1,geometry/coordinates/0/16/0,geometry/coordinates/0/16/1,geometry/coordinates/0/17/0,geometry/coordinates/0/17/1,geometry/coordinates/0/18/0,geometry/coordinates/0/18/1,id,properties/alt_name,properties/addr:city,properties/addr:housenumber,properties/addr:postcode,properties/addr:state,properties/addr:street,properties/brand,properties/brand:wikidata,properties/brand:wikipedia,geometry/coordinates/0/19/0,geometry/coordinates/0/19/1,geometry/coordinates/0/20/0,geometry/coordinates/0/20/1,geometry/coordinates/0/21/0,geometry/coordinates/0/21/1,geometry/coordinates/0/22/0,geometry/coordinates/0/22/1,geometry/coordinates/0/23/0,geometry/coordinates/0/23/1,geometry/coordinates/0/24/0,geometry/coordinates/0/24/1,properties/phone,properties/website,properties/building:levels,properties/source:image,properties/sport,geometry/coordinates/0/25/0,geometry/coordinates/0/25/1,geometry/coordinates/0/26/0,geometry/coordinates/0/26/1,geometry/coordinates/0/27/0,geometry/coordinates/0/27/1,geometry/coordinates/0/28/0,geometry/coordinates/0/28/1,geometry/coordinates/0/29/0,geometry/coordinates/0/29/1,geometry/coordinates/0/30/0,geometry/coordinates/0/30/1,geometry/coordinates/0/31/0,geometry/coordinates/0/31/1,geometry/coordinates/0/32/0,geometry/coordinates/0/32/1,geometry/coordinates/0/33/0,geometry/coordinates/0/33/1,properties/opening_hours,properties/source,properties/smoking,properties/addr:country,properties/addr:unit,properties/indoor:level,properties/internet_access,properties/building:part,properties/construction,properties/construction:leisure,properties/description,properties/email,properties/operator,properties/ref:retrofitness,properties/opening_hours:covid19,geometry/coordinates/0/34/0,geometry/coordinates/0/34/1,geometry/coordinates/0/35/0,geometry/coordinates/0/35/1,geometry/coordinates/0/36/0,geometry/coordinates/0/36/1,geometry/coordinates/0/37/0,geometry/coordinates/0/37/1,geometry/coordinates/0/38/0,geometry/coordinates/0/38/1,geometry/coordinates/0/39/0,geometry/coordinates/0/39/1,geometry/coordinates/0/40/0,geometry/coordinates/0/40/1,geometry/coordinates/0/41/0,geometry/coordinates/0/41/1,geometry/coordinates/0/42/0,geometry/coordinates/0/42/1,geometry/coordinates/0/43/0,geometry/coordinates/0/43/1,geometry/coordinates/0/44/0,geometry/coordinates/0/44/1,geometry/coordinates/0/45/0,geometry/coordinates/0/45/1,geometry/coordinates/0/46/0,geometry/coordinates/0/46/1,geometry/coordinates/0/47/0,geometry/coordinates/0/47/1,geometry/coordinates/0/48/0,geometry/coordinates/0/48/1,geometry/coordinates/0/49/0,geometry/coordinates/0/49/1,geometry/coordinates/0/50/0,geometry/coordinates/0/50/1,geometry/coordinates/0/51/0,geometry/coordinates/0/51/1,geometry/coordinates/0/52/0,geometry/coordinates/0/52/1,geometry/coordinates/0/53/0,geometry/coordinates/0/53/1,geometry/coordinates/0/54/0,geometry/coordinates/0/54/1,geometry/coordinates/0/55/0,geometry/coordinates/0/55/1,geometry/coordinates/0/56/0,geometry/coordinates/0/56/1,geometry/coordinates/0/57/0,geometry/coordinates/0/57/1,geometry/coordinates/0/58/0,geometry/coordinates/0/58/1,geometry/coordinates/0/59/0,geometry/coordinates/0/59/1,properties/wheelchair,geometry/coordinates/0,geometry/coordinates/1,properties/fixme,properties/climbing,properties/wikidata,properties/amenity,properties/store,properties/branch,properties/level,properties/name:en
Feature,way/29660309,university,fitness_centre,Athletics and Fitness Center,Polygon,-75.1216668,39.9500515,-75.1220252,39.9501161,-75.1219946,39.9501899,-75.122103,39.950206,-75.1221537,39.9502572,-75.1221698,39.9502736,-75.1223191,39.9502968,-75.1225303,39.9496245,-75.1224182,39.9495999,-75.1224502,39.9494893,-75.1223541,39.9495016,-75.1218766,39.9494435,-75.1218524,39.949497,-75.1217531,39.949475,-75.1217878,39.9493706,-75.121542,39.9493255,-75.1213921,39.9498212,-75.1217183,39.9498866,-75.1216668,39.9500515,way/29660309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/30105852,yes,fitness_centre,Edge Fitness,Polygon,-75.0232502,39.93746,-75.0239607,39.937547,-75.0240746,39.9370003,-75.0233641,39.9369132,-75.0232502,39.93746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way/30105852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/35918075,yes,fitness_centre,Pottruck Health and Fitness Center,Polygon,-75.1974068,39.9541476,-75.197508,39.9536784,-75.1974432,39.9536675,-75.1974511,39.9536238,-75.1973103,39.9536311,-75.1973072,39.9536481,-75.1972455,39.9536396,-75.197236,39.9536796,-75.1971822,39.9536711,-75.1971996,39.9535632,-75.1968532,39.953522,-75.1967251,39.9541124,-75.1970763,39.9541561,-75.1971443,39.9541537,-75.1972075,39.9541634,-75.1973388,39.9541585,-75.1973388,39.9541391,-75.1974068,39.9541476,,,way/35918075,Pottruck Gymnasium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/52495736,yes,fitness_centre,Esporta Fitness,Polygon,-75.2368058,40.0640361,-75.2367989,40.0640263,-75.2363422,40.0642487,-75.2367648,40.0647789,-75.2371453,40.0646123,-75.2371333,40.0645287,-75.2370674,40.0645327,-75.2370337,40.064503,-75.2370493,40.0644975,-75.2370493,40.0644754,-75.2370289,40.0644598,-75.2370085,40.0643266,-75.2369833,40.0643257,-75.2369773,40.0643073,-75.2369905,40.0643046,-75.2370145,40.0642825,-75.2370241,40.064255,-75.2370217,40.0642292,-75.2370037,40.0642063,way/52495736,,Philadelphia,8500 #33,19128,PA,Henry Avenue,Esporta Fitness,Q109354882,en:LA Fitness,-75.2369737,40.0641897,-75.2369389,40.0641888,-75.2369437,40.0641659,-75.2370866,40.0640959,-75.236966,40.0639522,-75.2368058,40.0640361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/61956916,yes,fitness_centre,John Pancott Gymnastics Center,Polygon,-75.5459344,40.0393785,-75.5458673,40.0391721,-75.5459181,40.0391624,-75.5458956,40.0390932,-75.5458443,40.0391029,-75.5458335,40.03907,-75.545399,40.0391528,-75.5454995,40.0394621,-75.5455979,40.0394434,-75.5456327,40.0395505,-75.5458441,40.0395102,-75.5458091,40.0394024,-75.5459344,40.0393785,,,,,,,,,,,,,way/61956916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/61956923,yes,fitness_centre,Planet Fitness,Polygon,-75.5470325,40.0405229,-75.5466739,40.0400505,-75.5465544,40.0401036,-75.546482,40.0400082,-75.5461275,40.0401659,-75.5460073,40.0400076,-75.5455442,40.0402136,-75.5457326,40.0404619,-75.5455905,40.0405251,-75.545734,40.0407141,-75.5460132,40.0405899,-75.5462325,40.0408789,-75.5470325,40.0405229,,,,,,,,,,,,,way/61956923,,,,,,,Planet Fitness,Q7201095,en:Planet Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/65104915,yes,fitness_centre,Precision Kettlebells,Polygon,-75.5489336,40.0395037,-75.5487557,40.0395331,-75.5488096,40.0397241,-75.5489433,40.039702,-75.5489538,40.039739,-75.548998,40.0397317,-75.5489336,40.0395037,,,,,,,,,,,,,,,,,,,,,,,,,way/65104915,,,309,,,Lancaster Avenue,,,,,,,,,,,,,,,,+1 610 636 7087,https://precisionkettlebells.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/67286854,yes,fitness_centre,Brandywine YMCA,Polygon,-75.551475,39.8076147,-75.551738,39.8075608,-75.5516757,39.8073816,-75.5519958,39.8073159,-75.5519559,39.8072012,-75.5520055,39.807191,-75.5518296,39.806684,-75.5513695,39.8067776,-75.5513615,39.8067543,-75.5511584,39.8067958,-75.551333,39.8073005,-75.5514095,39.8072849,-75.5514425,39.8073803,-75.5513968,39.8073897,-75.551475,39.8076147,,,,,,,,,way/67286854,,Wilmington,3,19803,DE,Mount Lebanon Road,,,,,,,,,,,,,,,,,,2,Yahoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/131285364,yes,fitness_centre,Crunch Fitness,Polygon,-75.09275,40.0871345,-75.0922246,40.0871514,-75.0922286,40.0872243,-75.092072,40.0872293,-75.0920769,40.0873184,-75.0922336,40.0873133,-75.0922478,40.0875716,-75.0927731,40.0875546,-75.09275,40.0871345,,,,,,,,,,,,,,,,,,,,,way/131285364,,Huntingdon Valley,755,19006,PA,Huntingdon Pike,Crunch Fitness,Q5190093,en:Crunch Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/201477197,yes,fitness_centre,Dixon Center,Polygon,-75.3771356,40.0576579,-75.3769639,40.0571139,-75.3769156,40.057118,-75.3768942,40.0570646,-75.3765214,40.0571365,-75.3765348,40.0571878,-75.3764972,40.057196,-75.3764811,40.0571632,-75.3763873,40.0571858,-75.3763953,40.0572186,-75.3762934,40.0572391,-75.3763363,40.0573746,-75.3763068,40.0573767,-75.3764489,40.0578366,-75.3771007,40.0577257,-75.3770873,40.0576682,-75.3771356,40.0576579,,,,,way/201477197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
